,epoch,checkpoint_name,accuracy,test_loss,num_correct,num_wrong
0,100,amber_m16_n2_checkpoint100.pt,0.0,0.2274284,0,1000
1,200,amber_m16_n2_checkpoint200.pt,0.0,0.20978388,0,1000
2,300,amber_m16_n2_checkpoint300.pt,0.0,0.20000854,0,1000
3,400,amber_m16_n2_checkpoint400.pt,0.0,0.19446167,0,1000
4,500,amber_m16_n2_checkpoint500.pt,0.0,0.19143263,0,1000
5,600,amber_m16_n2_checkpoint600.pt,0.0,0.19004703,0,1000
6,700,amber_m16_n2_checkpoint700.pt,0.0,0.18853733,0,1000
7,800,amber_m16_n2_checkpoint800.pt,0.0,0.1881949,0,1000
8,900,amber_m16_n2_checkpoint900.pt,0.0,0.18760237,0,1000
9,1000,amber_m16_n2_checkpoint1000.pt,0.0,0.18754101,0,1000
10,1100,amber_m16_n2_checkpoint1100.pt,0.0,0.18693328,0,1000
11,1200,amber_m16_n2_checkpoint1200.pt,0.0,0.18790968,0,1000
12,1300,amber_m16_n2_checkpoint1300.pt,0.0,0.18733278,0,1000
13,1400,amber_m16_n2_checkpoint1400.pt,0.0,0.1861498,0,1000
14,1500,amber_m16_n2_checkpoint1500.pt,0.0,0.1871045,0,1000
15,1600,amber_m16_n2_checkpoint1600.pt,0.0,0.18652947,0,1000
16,1700,amber_m16_n2_checkpoint1700.pt,0.0,0.18710804,0,1000
17,1800,amber_m16_n2_checkpoint1800.pt,0.0,0.18638867,0,1000
18,1900,amber_m16_n2_checkpoint1900.pt,0.0,0.1863279,0,1000
19,2000,amber_m16_n2_checkpoint2000.pt,0.0,0.18616799,0,1000
