,epoch,training_loss
0,1,0.26007342
1,2,0.25960723
2,3,0.25926837
3,4,0.25879163
4,5,0.25829446
5,6,0.25792333
6,7,0.257501
7,8,0.25705862
8,9,0.2566465
9,10,0.25619715
10,11,0.2558188
11,12,0.25537562
12,13,0.25495207
13,14,0.25457394
14,15,0.25414267
15,16,0.25375435
16,17,0.25333604
17,18,0.25293076
18,19,0.25251538
19,20,0.25214088
20,21,0.25174958
21,22,0.25135946
22,23,0.25097042
23,24,0.25059325
24,25,0.25021407
25,26,0.2498366
26,27,0.2494559
27,28,0.24908581
28,29,0.24871767
29,30,0.24833399
30,31,0.24798025
31,32,0.24760613
32,33,0.24726178
33,34,0.24689
34,35,0.24654515
35,36,0.24619049
36,37,0.24583249
37,38,0.24548973
38,39,0.24510133
39,40,0.24475175
40,41,0.24443318
41,42,0.24411894
42,43,0.2437633
43,44,0.2434179
44,45,0.24309555
45,46,0.24273427
46,47,0.24243408
47,48,0.24206369
48,49,0.24174938
49,50,0.24144366
50,51,0.24115139
51,52,0.24083616
52,53,0.2404705
53,54,0.24016687
54,55,0.23987019
55,56,0.23960525
56,57,0.23920467
57,58,0.23890619
58,59,0.23861614
59,60,0.23827784
60,61,0.23795646
61,62,0.23769088
62,63,0.23744702
63,64,0.23715733
64,65,0.23686577
65,66,0.23659989
66,67,0.2362772
67,68,0.23599963
68,69,0.23563938
69,70,0.23539191
70,71,0.23504789
71,72,0.23481943
72,73,0.23454788
73,74,0.2342949
74,75,0.23400724
75,76,0.23362342
76,77,0.23346005
77,78,0.23325369
78,79,0.23277292
79,80,0.2325601
80,81,0.23242691
81,82,0.23213932
82,83,0.23180154
83,84,0.23156112
84,85,0.23129874
85,86,0.2310862
86,87,0.2308057
87,88,0.23046774
88,89,0.23035717
89,90,0.23000038
90,91,0.22983156
91,92,0.22950798
92,93,0.22933796
93,94,0.22902389
94,95,0.2288008
95,96,0.22858715
96,97,0.22833368
97,98,0.22795267
98,99,0.22785898
99,100,0.22755426
100,101,0.22744536
101,102,0.22707763
102,103,0.22693622
103,104,0.22668293
104,105,0.2265195
105,106,0.22618863
106,107,0.22594303
107,108,0.22569314
108,109,0.22559056
109,110,0.22523017
110,111,0.22513406
111,112,0.22473584
112,113,0.22456399
113,114,0.22449934
114,115,0.22416784
115,116,0.22399479
116,117,0.22374085
117,118,0.22350198
118,119,0.22330862
119,120,0.22310975
120,121,0.22286797
121,122,0.22269505
122,123,0.2225016
123,124,0.22244205
124,125,0.22223562
125,126,0.22201414
126,127,0.22193903
127,128,0.2214518
128,129,0.22139734
129,130,0.22121942
130,131,0.22087234
131,132,0.22079994
132,133,0.22040763
133,134,0.22047006
134,135,0.22022334
135,136,0.21984187
136,137,0.2198208
137,138,0.21964827
138,139,0.21939331
139,140,0.2191793
140,141,0.2191464
141,142,0.21888864
142,143,0.21860766
143,144,0.21863537
144,145,0.21817192
145,146,0.21821824
146,147,0.21777195
147,148,0.21768394
148,149,0.21728955
149,150,0.21756226
150,151,0.21723771
151,152,0.21706516
152,153,0.21703103
153,154,0.21677387
154,155,0.21657279
155,156,0.2162905
156,157,0.21618056
157,158,0.21608125
158,159,0.21594867
159,160,0.21564566
160,161,0.21551952
161,162,0.21538427
162,163,0.21536636
163,164,0.21536657
164,165,0.21483888
165,166,0.2147278
166,167,0.21458787
167,168,0.21433803
168,169,0.21407741
169,170,0.21423428
170,171,0.21395192
171,172,0.2141325
172,173,0.21367754
173,174,0.21349862
174,175,0.21330135
175,176,0.21322903
176,177,0.21285224
177,178,0.21323946
178,179,0.21285404
179,180,0.21217296
180,181,0.21239339
181,182,0.21230978
182,183,0.21202305
183,184,0.21206725
184,185,0.21183786
185,186,0.21186179
186,187,0.2116949
187,188,0.21145815
188,189,0.21105582
189,190,0.21114954
190,191,0.21093851
191,192,0.21088307
192,193,0.21110424
193,194,0.21087366
194,195,0.2107426
195,196,0.21020862
196,197,0.21041146
197,198,0.20989731
198,199,0.20989263
199,200,0.20985313
200,201,0.2096353
201,202,0.20979849
202,203,0.20923063
203,204,0.20949629
204,205,0.20917073
205,206,0.2092048
206,207,0.20888285
207,208,0.20892891
208,209,0.20872188
209,210,0.208615
210,211,0.2086623
211,212,0.20855728
212,213,0.20782787
213,214,0.20819587
214,215,0.20786202
215,216,0.20795658
216,217,0.2080057
217,218,0.2073665
218,219,0.2075367
219,220,0.20777968
220,221,0.20729578
221,222,0.20721771
222,223,0.2071155
223,224,0.20698655
224,225,0.2070422
225,226,0.20683408
226,227,0.2066844
227,228,0.20665646
228,229,0.20652449
229,230,0.20611766
230,231,0.20615272
231,232,0.20599574
232,233,0.20609511
233,234,0.20582429
234,235,0.20598581
235,236,0.20551866
236,237,0.2054635
237,238,0.2054906
238,239,0.20538867
239,240,0.20492658
240,241,0.20493102
241,242,0.20512062
242,243,0.20504907
243,244,0.20462313
244,245,0.20472395
245,246,0.2046429
246,247,0.20449552
247,248,0.20466149
248,249,0.20451018
249,250,0.20430747
250,251,0.2038537
251,252,0.2038877
252,253,0.20423554
253,254,0.20377278
254,255,0.20339388
255,256,0.20354547
256,257,0.20354915
257,258,0.20339084
258,259,0.20355782
259,260,0.20348707
260,261,0.2032766
261,262,0.20268333
