,epoch,checkpoint_name,accuracy,test_loss,num_correct,num_wrong
0,100,brian_m16_n2_checkpoint100.pt,0.0,0.21696956,0,1000
1,200,brian_m16_n2_checkpoint200.pt,0.0,0.19865668,0,1000
2,300,brian_m16_n2_checkpoint300.pt,0.0,0.18945494,0,1000
3,400,brian_m16_n2_checkpoint400.pt,0.0,0.1856225,0,1000
4,500,brian_m16_n2_checkpoint500.pt,0.0,0.18470958,0,1000
5,600,brian_m16_n2_checkpoint600.pt,0.0,0.18493466,0,1000
6,700,brian_m16_n2_checkpoint700.pt,0.0,0.18423414,0,1000
7,800,brian_m16_n2_checkpoint800.pt,0.0,0.1843928,0,1000
8,900,brian_m16_n2_checkpoint900.pt,0.0,0.18410367,0,1000
9,1000,brian_m16_n2_checkpoint1000.pt,0.0,0.18428169,0,1000
10,1100,brian_m16_n2_checkpoint1100.pt,0.0,0.18371914,0,1000
11,1200,brian_m16_n2_checkpoint1200.pt,0.0,0.18479171,0,1000
12,1300,brian_m16_n2_checkpoint1300.pt,0.0,0.18420154,0,1000
13,1400,brian_m16_n2_checkpoint1400.pt,0.0,0.18304159,0,1000
14,1500,brian_m16_n2_checkpoint1500.pt,0.0,0.18400435,0,1000
15,1600,brian_m16_n2_checkpoint1600.pt,0.0,0.18342568,0,1000
16,1700,brian_m16_n2_checkpoint1700.pt,0.0,0.18402638,0,1000
17,1800,brian_m16_n2_checkpoint1800.pt,0.0,0.18325502,0,1000
18,1900,brian_m16_n2_checkpoint1900.pt,0.0,0.18321246,0,1000
19,2000,brian_m16_n2_checkpoint2000.pt,0.0,0.18307394,0,1000
