,epoch,checkpoint_name,accuracy,test_loss,num_correct,num_wrong
0,100,carl_m16_n2_checkpoint100.pt,0.0,0.1893446,0,1000
1,200,carl_m16_n2_checkpoint200.pt,0.0,0.18877064,0,1000
2,300,carl_m16_n2_checkpoint300.pt,0.0,0.1775065,0,1000
3,400,carl_m16_n2_checkpoint400.pt,0.0,0.16232768,0,1000
4,500,carl_m16_n2_checkpoint500.pt,0.0,0.14580782,0,1000
5,600,carl_m16_n2_checkpoint600.pt,0.0,0.13252206,0,1000
6,700,carl_m16_n2_checkpoint700.pt,0.0,0.11551793,0,1000
7,800,carl_m16_n2_checkpoint800.pt,0.0,0.07629032,0,1000
8,900,carl_m16_n2_checkpoint900.pt,0.0,0.029811908,0,1000
9,1000,carl_m16_n2_checkpoint1000.pt,0.0,0.012243923,0,1000
10,1100,carl_m16_n2_checkpoint1100.pt,0.002,0.008750403,2,998
11,1200,carl_m16_n2_checkpoint1200.pt,0.07,0.0040752813,70,930
12,1300,carl_m16_n2_checkpoint1300.pt,0.265,0.00229019,265,735
13,1400,carl_m16_n2_checkpoint1400.pt,0.524,0.0013794611,524,476
14,1500,carl_m16_n2_checkpoint1500.pt,0.73,0.0008691523,730,270
15,1600,carl_m16_n2_checkpoint1600.pt,0.747,0.00085856154,747,253
16,1700,carl_m16_n2_checkpoint1700.pt,0.785,0.0007978238,785,215
17,1800,carl_m16_n2_checkpoint1800.pt,0.789,0.0007867577,789,211
18,1900,carl_m16_n2_checkpoint1900.pt,0.798,0.00074703206,798,202
