,epoch,checkpoint_name,accuracy,test_loss,num_correct,num_wrong
0,100,denise_m16_n2_checkpoint100.pt,0.0,0.17747232,0,1000
1,200,denise_m16_n2_checkpoint200.pt,0.0,0.16989565,0,1000
2,300,denise_m16_n2_checkpoint300.pt,0.0,0.16225259,0,1000
3,400,denise_m16_n2_checkpoint400.pt,0.0,0.14349315,0,1000
4,500,denise_m16_n2_checkpoint500.pt,0.0,0.13118105,0,1000
5,600,denise_m16_n2_checkpoint600.pt,0.0,0.11160519,0,1000
6,700,denise_m16_n2_checkpoint700.pt,0.0,0.04859391,0,1000
7,800,denise_m16_n2_checkpoint800.pt,0.337,0.0046463213,337,663
8,900,denise_m16_n2_checkpoint900.pt,0.897,0.0012268937,897,103
9,1000,denise_m16_n2_checkpoint1000.pt,0.99,0.0005058986,990,10
10,1100,denise_m16_n2_checkpoint1100.pt,1.0,0.0002865309,1000,0
11,1200,denise_m16_n2_checkpoint1200.pt,1.0,0.00019671202,1000,0
12,1300,denise_m16_n2_checkpoint1300.pt,1.0,0.00014457676,1000,0
13,1400,denise_m16_n2_checkpoint1400.pt,1.0,0.00011652212,1000,0
14,1500,denise_m16_n2_checkpoint1500.pt,1.0,9.5176816e-05,1000,0
15,1600,denise_m16_n2_checkpoint1600.pt,1.0,9.3965435e-05,1000,0
16,1700,denise_m16_n2_checkpoint1700.pt,1.0,9.211555e-05,1000,0
17,1800,denise_m16_n2_checkpoint1800.pt,1.0,9.02032e-05,1000,0
18,1900,denise_m16_n2_checkpoint1900.pt,1.0,9.0355e-05,1000,0
