,epoch,training_loss
0,1,0.24810329
1,2,0.23122543
2,3,0.21948744
3,4,0.2110346
4,5,0.20375034
5,6,0.198836
6,7,0.19506668
7,8,0.19212829
8,9,0.1901229
9,10,0.1885539
10,11,0.1873802
11,12,0.18649969
12,13,0.1864838
13,14,0.18669537
14,15,0.18695217
15,16,0.18567471
16,17,0.18570058
17,18,0.18617411
18,19,0.18539147
19,20,0.1855796
20,21,0.1856849
21,22,0.18564253
22,23,0.18519105
23,24,0.18541886
24,25,0.18496844
25,26,0.18532015
26,27,0.18468805
27,28,0.18492688
28,29,0.18503799
29,30,0.18517312
30,31,0.18367724
31,32,0.18399777
32,33,0.18390268
33,34,0.18360287
34,35,0.18411802
35,36,0.1839259
36,37,0.1848765
37,38,0.1842011
38,39,0.18327919
39,40,0.18301867
40,41,0.18290533
41,42,0.18306814
42,43,0.18319088
43,44,0.18329065
44,45,0.18279232
45,46,0.18316735
46,47,0.18289958
47,48,0.1825989
48,49,0.18296976
49,50,0.18181744
50,51,0.1815975
51,52,0.18220788
52,53,0.18210883
53,54,0.18203808
54,55,0.18130952
55,56,0.18150592
56,57,0.18132287
57,58,0.1812995
58,59,0.18098602
59,60,0.18122739
60,61,0.18108894
61,62,0.18079099
62,63,0.18106781
63,64,0.18102628
64,65,0.18109533
65,66,0.180919
66,67,0.18028215
67,68,0.17944434
68,69,0.17967016
69,70,0.17981714
70,71,0.18025228
71,72,0.1797539
72,73,0.17927144
73,74,0.1797297
74,75,0.17960322
75,76,0.17909348
76,77,0.17929822
77,78,0.17918469
78,79,0.1792627
79,80,0.1799088
80,81,0.17907278
81,82,0.17870377
82,83,0.17925479
83,84,0.17838252
84,85,0.17883848
85,86,0.17843898
86,87,0.17869912
87,88,0.17770526
88,89,0.17844754
89,90,0.17799659
90,91,0.17865674
91,92,0.17771102
92,93,0.17744985
93,94,0.17777711
94,95,0.17774081
95,96,0.17748652
96,97,0.17775153
97,98,0.17713541
98,99,0.17709638
99,100,0.1775142
100,101,0.1771406
101,102,0.17685947
102,103,0.1767598
103,104,0.17751117
104,105,0.17705671
105,106,0.17694305
106,107,0.17659482
107,108,0.17671679
108,109,0.17675623
109,110,0.17573114
110,111,0.17609932
111,112,0.1758587
