,epoch,checkpoint_name,accuracy,test_loss,num_correct,num_wrong
0,100,ethan_m8_n2_checkpoint100.pt,0.0,0.18208691,0,1000
1,200,ethan_m8_n2_checkpoint200.pt,0.0,0.17560187,0,1000
2,300,ethan_m8_n2_checkpoint300.pt,0.0,0.17354384,0,1000
3,400,ethan_m8_n2_checkpoint400.pt,0.0,0.16829574,0,1000
4,500,ethan_m8_n2_checkpoint500.pt,0.0,0.15747635,0,1000
5,600,ethan_m8_n2_checkpoint600.pt,0.0,0.1448843,0,1000
6,700,ethan_m8_n2_checkpoint700.pt,0.0,0.13092388,0,1000
7,800,ethan_m8_n2_checkpoint800.pt,0.0,0.112371504,0,1000
8,900,ethan_m8_n2_checkpoint900.pt,0.0,0.07400757,0,1000
9,1000,ethan_m8_n2_checkpoint1000.pt,0.0,0.050336964,0,1000
10,1100,ethan_m8_n2_checkpoint1100.pt,0.937,0.0019537427,937,63
11,1200,ethan_m8_n2_checkpoint1200.pt,0.999,0.0005488104,999,1
12,1300,ethan_m8_n2_checkpoint1300.pt,1.0,0.00026925607,1000,0
13,1400,ethan_m8_n2_checkpoint1400.pt,1.0,0.00016950456,1000,0
14,1500,ethan_m8_n2_checkpoint1500.pt,1.0,0.000120140714,1000,0
