,epoch,training_loss
0,1,0.26188797
1,2,0.241248
2,3,0.2269035
3,4,0.2163555
4,5,0.20879827
5,6,0.20309769
6,7,0.19883281
7,8,0.19574985
8,9,0.19355986
9,10,0.19202313
10,11,0.19094983
11,12,0.18966317
12,13,0.18938723
13,14,0.18898465
14,15,0.18863784
15,16,0.18820849
16,17,0.18752302
17,18,0.18782422
18,19,0.18753238
19,20,0.18680689
20,21,0.18765055
21,22,0.18795104
22,23,0.18777315
23,24,0.18702456
24,25,0.18767047
25,26,0.18781789
26,27,0.18738902
27,28,0.18733384
28,29,0.18735737
29,30,0.18732595
30,31,0.18703052
31,32,0.18766989
32,33,0.18690336
33,34,0.18695904
34,35,0.18712044
35,36,0.18774262
36,37,0.18718776
37,38,0.18712011
38,39,0.18708974
39,40,0.18640706
40,41,0.18698753
41,42,0.18700945
42,43,0.18608992
43,44,0.18570867
44,45,0.18671064
45,46,0.18548836
46,47,0.18606523
47,48,0.18617775
48,49,0.18651935
49,50,0.18625279
50,51,0.1858147
51,52,0.18586847
52,53,0.1864023
53,54,0.1859919
54,55,0.18539245
55,56,0.18572599
56,57,0.1852745
57,58,0.18585344
58,59,0.18537036
59,60,0.18600619
60,61,0.18457071
61,62,0.18485853
62,63,0.184879
63,64,0.1851494
64,65,0.18479146
65,66,0.18421645
66,67,0.1850308
67,68,0.1845413
68,69,0.18451639
69,70,0.18444996
70,71,0.18420969
71,72,0.18397917
72,73,0.18350467
73,74,0.18372135
74,75,0.18415844
75,76,0.18354121
76,77,0.1836986
77,78,0.18293002
78,79,0.183251
79,80,0.1822198
80,81,0.1831571
81,82,0.18332024
82,83,0.18289459
83,84,0.18287659
84,85,0.18232687
85,86,0.18269639
86,87,0.18289343
87,88,0.18307376
88,89,0.18243238
89,90,0.18243007
90,91,0.18205325
91,92,0.18135397
92,93,0.18174915
93,94,0.18208744
94,95,0.18171346
95,96,0.18181211
96,97,0.18204387
97,98,0.18165426
98,99,0.18074022
99,100,0.1821323
100,101,0.1813716
101,102,0.1809339
102,103,0.18083747
103,104,0.18074183
104,105,0.18098639
105,106,0.18072717
106,107,0.18062332
107,108,0.18039398
108,109,0.18029469
109,110,0.179788
110,111,0.18017331
111,112,0.1807651
112,113,0.1803981
113,114,0.17984521
114,115,0.17944849
115,116,0.18036051
116,117,0.17965733
117,118,0.17922059
118,119,0.17979452
119,120,0.17977983
120,121,0.17968237
121,122,0.17944928
122,123,0.18016562
123,124,0.17896551
124,125,0.17865668
125,126,0.17971054
126,127,0.17877565
127,128,0.17934896
128,129,0.17912304
129,130,0.17933978
130,131,0.1780182
131,132,0.17923984
132,133,0.17879754
133,134,0.1788587
134,135,0.17889935
135,136,0.17930673
136,137,0.17829135
137,138,0.1779173
138,139,0.17825414
139,140,0.17776532
140,141,0.17851295
141,142,0.17812426
142,143,0.1781242
143,144,0.1781568
144,145,0.17828214
145,146,0.17770013
146,147,0.17744608
147,148,0.17735107
148,149,0.17767921
149,150,0.17745183
150,151,0.17778498
151,152,0.17730705
152,153,0.17737862
153,154,0.17718971
154,155,0.17740309
155,156,0.17743735
156,157,0.17660895
157,158,0.17672522
158,159,0.17726712
159,160,0.1766583
160,161,0.17754743
161,162,0.17750435
162,163,0.17688163
163,164,0.17737472
164,165,0.17622797
165,166,0.17647657
166,167,0.17701331
167,168,0.17720658
168,169,0.17662762
169,170,0.17684427
170,171,0.1766592
171,172,0.1764816
172,173,0.17685555
173,174,0.17692015
174,175,0.17674185
175,176,0.17714114
176,177,0.17654043
177,178,0.17633004
178,179,0.17703366
179,180,0.17646457
180,181,0.17655861
181,182,0.17667413
182,183,0.17656684
183,184,0.17631379
184,185,0.17608975
185,186,0.17652686
186,187,0.17664568
187,188,0.1768393
188,189,0.1762431
189,190,0.17623082
190,191,0.17605072
191,192,0.17687371
192,193,0.17620425
193,194,0.17631936
194,195,0.17477255
195,196,0.17665954
196,197,0.17583157
197,198,0.17587256
198,199,0.17597345
199,200,0.1756156
200,201,0.17582358
201,202,0.17595178
202,203,0.17633078
203,204,0.17567839
204,205,0.1759472
205,206,0.17647395
206,207,0.17566133
207,208,0.17584994
208,209,0.17561874
209,210,0.17469159
210,211,0.17534736
211,212,0.1756113
212,213,0.17482582
213,214,0.17606589
214,215,0.1755695
215,216,0.1747491
216,217,0.17509891
217,218,0.17510058
218,219,0.17572892
219,220,0.17521048
220,221,0.17566475
221,222,0.17565082
222,223,0.17550051
223,224,0.17514941
224,225,0.17550921
