,epoch,checkpoint_name,accuracy,test_loss,num_correct,num_wrong
0,100,fred_m8_n2_checkpoint100.pt,0.0,0.17981184,0,1000
1,200,fred_m8_n2_checkpoint200.pt,0.0,0.17270364,0,1000
2,300,fred_m8_n2_checkpoint300.pt,0.0,0.16518964,0,1000
3,400,fred_m8_n2_checkpoint400.pt,0.0,0.14946875,0,1000
4,500,fred_m8_n2_checkpoint500.pt,0.0,0.1390989,0,1000
5,600,fred_m8_n2_checkpoint600.pt,0.0,0.1301908,0,1000
6,700,fred_m8_n2_checkpoint700.pt,0.0,0.11572571,0,1000
7,800,fred_m8_n2_checkpoint800.pt,0.0,0.06981405,0,1000
8,900,fred_m8_n2_checkpoint900.pt,0.432,0.006062298,432,568
9,1000,fred_m8_n2_checkpoint1000.pt,0.988,0.0009591212,988,12
10,1100,fred_m8_n2_checkpoint1100.pt,1.0,0.00042390596,1000,0
11,1200,fred_m8_n2_checkpoint1200.pt,0.999,0.00024936424,999,1
12,1300,fred_m8_n2_checkpoint1300.pt,1.0,0.00017158335,1000,0
13,1400,fred_m8_n2_checkpoint1400.pt,1.0,0.00012888892,1000,0
14,1500,fred_m8_n2_checkpoint1500.pt,1.0,0.00010165599,1000,0
