,epoch,checkpoint_name,accuracy,test_loss,num_correct,num_wrong
0,100,harold_m8_n2_checkpoint100.pt,0.0,0.17821847,0,1000
1,200,harold_m8_n2_checkpoint200.pt,0.0,0.16698188,0,1000
2,300,harold_m8_n2_checkpoint300.pt,0.0,0.15850382,0,1000
3,400,harold_m8_n2_checkpoint400.pt,0.0,0.14750357,0,1000
4,500,harold_m8_n2_checkpoint500.pt,0.0,0.13822147,0,1000
5,600,harold_m8_n2_checkpoint600.pt,0.0,0.12569942,0,1000
6,700,harold_m8_n2_checkpoint700.pt,0.0,0.08694077,0,1000
7,800,harold_m8_n2_checkpoint800.pt,0.972,0.016453208,972,28
8,900,harold_m8_n2_checkpoint900.pt,1.0,0.0041566286,1000,0
9,1000,harold_m8_n2_checkpoint1000.pt,1.0,0.0021785048,1000,0
10,1100,harold_m8_n2_checkpoint1100.pt,1.0,0.0014420575,1000,0
11,1200,harold_m8_n2_checkpoint1200.pt,1.0,0.001064595,1000,0
12,1300,harold_m8_n2_checkpoint1300.pt,1.0,0.0008380215,1000,0
13,1400,harold_m8_n2_checkpoint1400.pt,1.0,0.00069299317,1000,0
14,1500,harold_m8_n2_checkpoint1500.pt,1.0,0.00058371754,1000,0
