,epoch,training_loss
0,1,0.22692788
1,2,0.21431708
2,3,0.20539625
3,4,0.2002555
4,5,0.19579509
5,6,0.1932643
6,7,0.19191982
7,8,0.19063333
8,9,0.18970148
9,10,0.18927243
10,11,0.18947068
11,12,0.18904401
12,13,0.1882421
13,14,0.18846789
14,15,0.18857689
15,16,0.18852387
16,17,0.18811399
17,18,0.18783991
18,19,0.18741515
19,20,0.1878524
20,21,0.18860777
21,22,0.18862939
22,23,0.18788601
23,24,0.18762103
24,25,0.1874899
25,26,0.18747295
26,27,0.18800253
27,28,0.18828323
28,29,0.18810114
29,30,0.18727359
30,31,0.18715441
31,32,0.18747203
32,33,0.18787418
33,34,0.1868645
34,35,0.18718281
35,36,0.18675819
36,37,0.18645008
37,38,0.18656
38,39,0.18698917
39,40,0.18621963
40,41,0.18610947
41,42,0.1859538
42,43,0.18688712
43,44,0.18623658
44,45,0.18603912
45,46,0.18601492
46,47,0.18562073
47,48,0.18538411
48,49,0.18543804
49,50,0.18587857
50,51,0.1860201
51,52,0.18541525
52,53,0.18487884
53,54,0.1855382
54,55,0.18447778
55,56,0.18512419
56,57,0.1845354
57,58,0.1842867
58,59,0.18389916
59,60,0.18471415
60,61,0.1842675
61,62,0.1839466
62,63,0.18470304
63,64,0.18439557
64,65,0.18369421
65,66,0.18322296
66,67,0.1835411
67,68,0.1831589
68,69,0.18229306
69,70,0.18354113
70,71,0.18298976
71,72,0.1821865
72,73,0.1818359
73,74,0.18197124
74,75,0.18235363
75,76,0.18167433
76,77,0.18185309
77,78,0.18158868
78,79,0.18133962
79,80,0.18122
80,81,0.18052934
81,82,0.18116239
82,83,0.18073438
83,84,0.18030287
84,85,0.17992495
85,86,0.1803818
86,87,0.17999996
87,88,0.18007095
88,89,0.17997713
89,90,0.1799675
90,91,0.17973863
91,92,0.17906512
92,93,0.1793021
93,94,0.17944384
94,95,0.17925999
95,96,0.1781461
96,97,0.17854533
97,98,0.17848279
98,99,0.1783365
99,100,0.17828713
100,101,0.17867783
101,102,0.17814317
102,103,0.17795332
103,104,0.1771784
104,105,0.17702277
105,106,0.17765692
106,107,0.17731012
107,108,0.17755282
108,109,0.17713766
109,110,0.17765094
110,111,0.17708954
111,112,0.17728946
112,113,0.17624655
113,114,0.17612843
114,115,0.17572807
115,116,0.17603439
116,117,0.17676786
117,118,0.17608805
118,119,0.17515591
119,120,0.17611483
120,121,0.17600842
121,122,0.1758841
122,123,0.17525537
123,124,0.17494504
124,125,0.17505647
125,126,0.1758505
126,127,0.17522381
127,128,0.17543891
128,129,0.17430727
129,130,0.17384961
130,131,0.17421591
131,132,0.1737933
132,133,0.17375952
133,134,0.17383975
134,135,0.1742132
135,136,0.17350765
136,137,0.17362924
137,138,0.17321265
138,139,0.17281134
139,140,0.17307815
140,141,0.17282684
141,142,0.17262667
142,143,0.17310235
143,144,0.17256488
144,145,0.1726719
145,146,0.17249152
146,147,0.17225315
147,148,0.17143701
148,149,0.17169714
149,150,0.17153092
150,151,0.17201841
151,152,0.17165186
152,153,0.1713673
153,154,0.17120738
154,155,0.17063886
155,156,0.17150366
156,157,0.17086089
157,158,0.17079537
158,159,0.17096522
159,160,0.1702482
160,161,0.1707886
161,162,0.17065945
162,163,0.17011334
163,164,0.17014058
164,165,0.16978718
165,166,0.17002754
166,167,0.16972058
167,168,0.17000741
168,169,0.16972302
169,170,0.16944827
170,171,0.16932209
171,172,0.1695623
172,173,0.16912805
173,174,0.16931026
174,175,0.16900574
175,176,0.16876104
176,177,0.16946167
177,178,0.16934371
178,179,0.16880628
179,180,0.16877891
180,181,0.1687706
181,182,0.1681794
182,183,0.16809516
183,184,0.16791421
184,185,0.16839188
185,186,0.16783194
186,187,0.16826041
187,188,0.16798456
188,189,0.16774787
189,190,0.1683916
190,191,0.16813256
191,192,0.16835801
192,193,0.16669592
193,194,0.1676247
194,195,0.16777694
195,196,0.16749342
196,197,0.16729021
197,198,0.16730796
198,199,0.16632678
199,200,0.16702418
200,201,0.16659212
201,202,0.16709308
202,203,0.16734494
203,204,0.16666594
204,205,0.16717932
205,206,0.1669267
206,207,0.16671567
207,208,0.16621552
208,209,0.16658516
209,210,0.16624625
210,211,0.16598843
211,212,0.16599376
212,213,0.16620228
213,214,0.16550195
214,215,0.16598287
215,216,0.16617821
216,217,0.1662029
217,218,0.16558349
218,219,0.16548905
219,220,0.16556053
220,221,0.1654256
221,222,0.16572385
222,223,0.16469015
223,224,0.16548838
224,225,0.1654873
225,226,0.16441205
226,227,0.16550204
227,228,0.16492179
228,229,0.1653786
229,230,0.16411418
230,231,0.16398564
231,232,0.16438876
232,233,0.16398035
233,234,0.16478837
234,235,0.16451117
235,236,0.16416262
236,237,0.16407865
237,238,0.163584
238,239,0.16381137
239,240,0.16452388
240,241,0.16316292
241,242,0.1645083
242,243,0.16345924
243,244,0.16363434
244,245,0.16387293
245,246,0.1629297
246,247,0.16324441
247,248,0.16323511
248,249,0.16270371
249,250,0.16247699
250,251,0.16260296
251,252,0.16276288
252,253,0.16309936
253,254,0.16351166
254,255,0.16325901
255,256,0.16324444
256,257,0.16214603
257,258,0.16285375
258,259,0.16226378
259,260,0.16248621
260,261,0.1617215
261,262,0.16249786
262,263,0.16274163
263,264,0.16232184
264,265,0.16273461
265,266,0.16255008
266,267,0.16148776
267,268,0.16197714
268,269,0.1614704
269,270,0.1617171
270,271,0.16120926
271,272,0.16089097
272,273,0.16076334
273,274,0.16213953
274,275,0.16081238
275,276,0.16068752
276,277,0.16032659
277,278,0.16043921
278,279,0.16010638
279,280,0.16080564
280,281,0.15964074
281,282,0.15978795
282,283,0.15998034
283,284,0.16038358
284,285,0.15949494
285,286,0.15990011
286,287,0.15873091
287,288,0.16005707
288,289,0.15891007
289,290,0.1594927
290,291,0.15964563
291,292,0.15887567
292,293,0.15933321
293,294,0.15837531
294,295,0.15854537
295,296,0.15840939
296,297,0.15873303
297,298,0.15796784
298,299,0.15823534
299,300,0.15858217
300,301,0.15766345
301,302,0.15756983
302,303,0.15760824
303,304,0.15699817
304,305,0.15745008
305,306,0.15744726
306,307,0.15693659
307,308,0.15687399
308,309,0.15650675
309,310,0.1566665
310,311,0.15706784
311,312,0.15684743
312,313,0.1560857
313,314,0.1557336
314,315,0.15598406
315,316,0.15566736
316,317,0.15540732
317,318,0.15566993
318,319,0.1550228
319,320,0.15552163
320,321,0.15497415
321,322,0.15507837
322,323,0.15502304
323,324,0.15421426
324,325,0.15472145
325,326,0.15506016
326,327,0.15480135
327,328,0.15407604
328,329,0.15387082
329,330,0.15460199
330,331,0.15298344
331,332,0.15408553
332,333,0.15327188
333,334,0.15340748
334,335,0.15362066
335,336,0.1532532
336,337,0.15348297
337,338,0.15233815
338,339,0.15255862
339,340,0.15292929
340,341,0.152763
341,342,0.15294385
342,343,0.1525152
343,344,0.1523187
344,345,0.15299504
345,346,0.15263644
346,347,0.15228845
347,348,0.15195264
348,349,0.15173249
349,350,0.15162317
350,351,0.1516037
351,352,0.15066803
352,353,0.15176648
353,354,0.1517902
354,355,0.15181777
355,356,0.15154278
356,357,0.15110505
357,358,0.15095395
358,359,0.15213986
359,360,0.15124978
360,361,0.15128338
361,362,0.15021683
362,363,0.15017197
363,364,0.15073077
364,365,0.15087932
365,366,0.15047126
366,367,0.15022916
367,368,0.15037549
368,369,0.15018786
369,370,0.14999628
370,371,0.15040784
371,372,0.14959466
372,373,0.15043381
373,374,0.14955804
374,375,0.14932315
375,376,0.14963633
376,377,0.14965247
377,378,0.14906026
378,379,0.14929114
379,380,0.14943841
380,381,0.1493661
381,382,0.14906098
382,383,0.14959306
383,384,0.14880562
384,385,0.14858067
385,386,0.14855708
386,387,0.14885189
387,388,0.14891309
388,389,0.14825824
389,390,0.14846939
390,391,0.14835387
391,392,0.1479871
392,393,0.14776468
393,394,0.14877883
394,395,0.14797808
395,396,0.14784017
396,397,0.14731435
397,398,0.14776286
398,399,0.14745682
399,400,0.14755137
400,401,0.14690538
401,402,0.14763473
402,403,0.14732397
403,404,0.14669858
404,405,0.1473043
405,406,0.14721215
406,407,0.14703885
407,408,0.14718515
408,409,0.14712225
409,410,0.1469811
410,411,0.14602458
411,412,0.14655328
412,413,0.14636545
413,414,0.14597929
414,415,0.1460024
415,416,0.14610995
416,417,0.14592545
417,418,0.1454863
418,419,0.1461681
419,420,0.14544718
420,421,0.14574002
421,422,0.14642969
422,423,0.14545606
423,424,0.14599028
424,425,0.14523724
425,426,0.14553018
426,427,0.14538844
427,428,0.14592344
428,429,0.14501274
429,430,0.14575852
430,431,0.14450516
431,432,0.14462622
