,epoch,training_loss
0,1,0.2556941
1,2,0.237341
2,3,0.22457103
3,4,0.21562418
4,5,0.20934962
5,6,0.20427005
6,7,0.20061694
7,8,0.19769333
8,9,0.19565897
9,10,0.19441779
10,11,0.19334835
11,12,0.19166943
12,13,0.19170369
13,14,0.19125906
14,15,0.18994924
15,16,0.1905657
16,17,0.18966438
17,18,0.18962927
18,19,0.18959813
19,20,0.18918906
20,21,0.189779
21,22,0.189113
22,23,0.18900433
23,24,0.18791778
24,25,0.18900727
25,26,0.18895993
26,27,0.18830976
27,28,0.1889523
28,29,0.18877262
29,30,0.1881312
30,31,0.18837632
31,32,0.18849234
32,33,0.18883264
33,34,0.18869552
34,35,0.18875524
35,36,0.18912818
36,37,0.18891878
37,38,0.18873908
38,39,0.18849738
39,40,0.1886721
40,41,0.18857004
41,42,0.18820179
42,43,0.18852206
43,44,0.18833202
44,45,0.18877088
45,46,0.18892466
46,47,0.1884282
47,48,0.18845093
48,49,0.18849109
49,50,0.18845816
50,51,0.18819319
51,52,0.18864365
52,53,0.18805191
53,54,0.18830535
54,55,0.18869331
55,56,0.18882644
56,57,0.18812002
57,58,0.18769956
58,59,0.18772852
59,60,0.18830645
60,61,0.18805468
61,62,0.1888612
62,63,0.1886747
63,64,0.18814772
64,65,0.18777415
65,66,0.18852383
66,67,0.18755636
67,68,0.1885624
68,69,0.18774924
69,70,0.18676816
70,71,0.18806134
71,72,0.18725705
72,73,0.18774183
73,74,0.18770882
74,75,0.18769696
75,76,0.18808962
76,77,0.18799189
77,78,0.18831375
78,79,0.18746561
79,80,0.18772644
80,81,0.1872218
81,82,0.18685369
82,83,0.18768021
83,84,0.1868967
84,85,0.18690853
85,86,0.1879751
86,87,0.18754223
87,88,0.18815525
88,89,0.18690753
89,90,0.1871484
90,91,0.1867377
91,92,0.18671459
92,93,0.18644609
93,94,0.18711627
94,95,0.18681315
95,96,0.18672906
96,97,0.18715502
97,98,0.18658437
98,99,0.18642926
99,100,0.18647645
100,101,0.1866211
101,102,0.18563555
102,103,0.18603726
103,104,0.18607801
104,105,0.1860274
105,106,0.18563946
106,107,0.18567859
107,108,0.18622062
108,109,0.18514717
109,110,0.18478143
110,111,0.18553288
111,112,0.18464908
112,113,0.18487829
