,epoch,training_loss
0,1,0.2716161
1,2,0.25101146
2,3,0.23473938
3,4,0.22230521
4,5,0.21311231
5,6,0.2057735
6,7,0.20034018
7,8,0.19611792
8,9,0.19320145
9,10,0.19145823
10,11,0.19016257
11,12,0.18832892
12,13,0.18852018
13,14,0.18821368
14,15,0.18693665
15,16,0.18783532
16,17,0.18699712
17,18,0.1871073
18,19,0.18718857
19,20,0.18678662
20,21,0.18750744
21,22,0.18679313
22,23,0.18670377
23,24,0.18550006
24,25,0.18666567
25,26,0.18660936
26,27,0.18586874
27,28,0.18651272
28,29,0.18630284
29,30,0.18552461
30,31,0.1857235
31,32,0.18579885
32,33,0.18609115
33,34,0.18584917
34,35,0.18584669
35,36,0.18615644
36,37,0.18586294
37,38,0.18560742
38,39,0.18529123
39,40,0.18542774
40,41,0.18520145
41,42,0.18471839
42,43,0.18501265
43,44,0.18473059
44,45,0.18509504
45,46,0.18513049
46,47,0.18456778
47,48,0.18448703
48,49,0.1845101
49,50,0.18434693
50,51,0.18397334
51,52,0.18437532
52,53,0.18360251
53,54,0.1838484
54,55,0.18411516
55,56,0.18420829
56,57,0.18335955
57,58,0.18286093
58,59,0.18283853
59,60,0.18333322
60,61,0.18303278
61,62,0.18376657
62,63,0.18347864
63,64,0.18290174
64,65,0.1823057
65,66,0.1830769
66,67,0.1819746
67,68,0.18291284
68,69,0.18207105
69,70,0.18101558
70,71,0.18220375
71,72,0.18130735
72,73,0.1817524
73,74,0.18168873
74,75,0.1815213
75,76,0.18188639
76,77,0.18169165
77,78,0.18197787
78,79,0.18100442
79,80,0.18124378
80,81,0.18069239
81,82,0.18037702
82,83,0.18104027
83,84,0.18017867
84,85,0.18015502
85,86,0.1811449
86,87,0.1806731
87,88,0.18116851
88,89,0.17990156
89,90,0.18009162
90,91,0.17968455
91,92,0.17958653
92,93,0.17924297
93,94,0.17996104
94,95,0.179502
95,96,0.17942122
96,97,0.1798125
97,98,0.1791634
98,99,0.17890157
99,100,0.17899957
100,101,0.17905056
101,102,0.17816427
102,103,0.17848086
103,104,0.17857014
104,105,0.17850229
105,106,0.17804566
106,107,0.17807785
107,108,0.17848197
108,109,0.17754376
109,110,0.17720272
110,111,0.17793152
111,112,0.17700793
112,113,0.17724234
113,114,0.17712542
114,115,0.17768899
115,116,0.17799255
116,117,0.17767832
117,118,0.17710394
118,119,0.17723058
119,120,0.17739931
120,121,0.1768222
121,122,0.17614642
122,123,0.17676981
123,124,0.17645624
124,125,0.17586161
125,126,0.17577685
126,127,0.17690122
127,128,0.17709287
128,129,0.17694645
129,130,0.1762944
130,131,0.17619193
131,132,0.17642485
132,133,0.17618372
133,134,0.17555866
134,135,0.17606863
135,136,0.17615469
136,137,0.1761156
137,138,0.1755545
138,139,0.1763963
139,140,0.17540972
140,141,0.17528361
141,142,0.17503954
142,143,0.17516407
143,144,0.17509314
144,145,0.17540945
145,146,0.17543207
146,147,0.17521298
147,148,0.17466538
148,149,0.17460756
149,150,0.17468178
150,151,0.17520355
151,152,0.17436005
152,153,0.17382917
153,154,0.1739617
154,155,0.17391604
155,156,0.17526941
156,157,0.1744628
157,158,0.17446716
158,159,0.17445453
159,160,0.17520854
160,161,0.17386957
161,162,0.17449315
162,163,0.17374603
163,164,0.17390032
164,165,0.1729348
165,166,0.17340414
166,167,0.17369148
167,168,0.17380814
168,169,0.17312089
169,170,0.17309684
170,171,0.17281066
171,172,0.17290136
172,173,0.17289129
173,174,0.17278843
174,175,0.17232895
175,176,0.17276517
176,177,0.17289197
177,178,0.17228986
178,179,0.17149109
179,180,0.1719227
180,181,0.171283
181,182,0.17109191
182,183,0.17180637
183,184,0.17164563
184,185,0.17143509
185,186,0.17021613
186,187,0.17103793
187,188,0.17118418
188,189,0.16944683
189,190,0.17076644
190,191,0.17004374
191,192,0.17010917
192,193,0.1698172
193,194,0.16991727
194,195,0.1688775
195,196,0.16874897
196,197,0.16911514
197,198,0.16989206
198,199,0.16904935
199,200,0.16796172
200,201,0.16921002
201,202,0.16888215
202,203,0.16811205
203,204,0.1686015
204,205,0.16782898
205,206,0.16813256
206,207,0.16785064
207,208,0.16839151
208,209,0.16783483
209,210,0.16750693
210,211,0.16796792
211,212,0.16710263
212,213,0.1670746
213,214,0.1676326
214,215,0.16725385
215,216,0.16741097
216,217,0.16695593
217,218,0.16657448
218,219,0.16737618
219,220,0.16651471
220,221,0.16674429
221,222,0.16710825
222,223,0.16665328
223,224,0.16612746
224,225,0.16720049
225,226,0.16730301
226,227,0.16649348
227,228,0.16617197
228,229,0.16688094
229,230,0.1658859
230,231,0.16588913
231,232,0.16530918
232,233,0.16561063
233,234,0.16543554
234,235,0.16590683
235,236,0.16582611
236,237,0.16528918
237,238,0.16545285
238,239,0.16547248
239,240,0.16442241
240,241,0.1660084
241,242,0.16508438
242,243,0.16576546
243,244,0.16443792
244,245,0.16479458
245,246,0.16497523
246,247,0.16508947
247,248,0.16493095
248,249,0.1650199
249,250,0.1646011
250,251,0.16402502
251,252,0.16461933
252,253,0.1648121
253,254,0.16363713
254,255,0.16335538
255,256,0.16356094
256,257,0.16377991
257,258,0.16419782
258,259,0.16376697
259,260,0.16348466
260,261,0.16350156
261,262,0.16336143
262,263,0.16398242
263,264,0.16293293
264,265,0.16308804
265,266,0.16251346
266,267,0.16330728
267,268,0.16283987
268,269,0.16336702
269,270,0.16211869
270,271,0.16323885
271,272,0.16171476
272,273,0.16338587
273,274,0.16266595
274,275,0.1615983
275,276,0.16296852
276,277,0.16278382
277,278,0.16210413
278,279,0.16272748
279,280,0.16186352
280,281,0.16175982
281,282,0.16204745
282,283,0.16125555
283,284,0.16152048
284,285,0.16132072
285,286,0.16161288
286,287,0.16130415
287,288,0.1617665
288,289,0.16156851
289,290,0.16034296
290,291,0.16127759
291,292,0.16189198
292,293,0.16126657
293,294,0.16088063
294,295,0.16155
295,296,0.16157354
296,297,0.16114743
297,298,0.16135983
298,299,0.16125153
299,300,0.16074294
300,301,0.16113257
301,302,0.16104865
302,303,0.16108787
303,304,0.16098092
304,305,0.16084833
305,306,0.16078717
306,307,0.16116467
307,308,0.16085386
308,309,0.16140915
309,310,0.16016956
310,311,0.16048858
311,312,0.15982842
312,313,0.16069497
313,314,0.16036434
314,315,0.1608331
315,316,0.16031246
316,317,0.16015103
317,318,0.16034134
318,319,0.15991674
319,320,0.16021551
320,321,0.15999658
321,322,0.15970248
322,323,0.16036081
323,324,0.16014872
324,325,0.1607947
325,326,0.1598276
326,327,0.16013569
327,328,0.16011693
328,329,0.1597801
329,330,0.16013324
330,331,0.15960893
331,332,0.15957674
332,333,0.15920189
333,334,0.15965423
334,335,0.15941861
335,336,0.15908812
336,337,0.15933521
337,338,0.15965289
338,339,0.15963803
339,340,0.15910265
340,341,0.15929246
341,342,0.15956818
342,343,0.15944798
343,344,0.16017067
344,345,0.1586391
345,346,0.15842551
346,347,0.15932001
347,348,0.16002966
348,349,0.15953936
349,350,0.15906757
350,351,0.15959494
351,352,0.15941139
352,353,0.15863086
353,354,0.15961343
354,355,0.15891397
355,356,0.15947106
356,357,0.15852478
357,358,0.15902384
358,359,0.15889244
359,360,0.15885685
360,361,0.15894784
361,362,0.15883432
362,363,0.15885599
363,364,0.15874079
364,365,0.15841022
365,366,0.1589873
366,367,0.15824676
367,368,0.15850964
368,369,0.15804474
369,370,0.1590129
370,371,0.15909055
371,372,0.15857054
372,373,0.15861134
373,374,0.159039
374,375,0.15865988
375,376,0.15829219
376,377,0.15873379
377,378,0.1580679
378,379,0.15796123
379,380,0.1584462
380,381,0.1590619
381,382,0.1585667
382,383,0.15900011
383,384,0.15794931
384,385,0.15801108
385,386,0.15872058
386,387,0.15739849
387,388,0.15771957
388,389,0.15785033
389,390,0.15801874
390,391,0.1580586
391,392,0.15807733
392,393,0.15757804
393,394,0.15725829
394,395,0.1583844
395,396,0.15697666
396,397,0.15804377
397,398,0.15853119
398,399,0.15818064
399,400,0.15793887
400,401,0.15765241
401,402,0.15827197
402,403,0.15799206
403,404,0.1575911
404,405,0.1571392
405,406,0.1574243
406,407,0.15813051
407,408,0.15742975
408,409,0.15766631
409,410,0.15739925
410,411,0.156961
411,412,0.15780826
412,413,0.15729287
413,414,0.15710148
414,415,0.15765534
415,416,0.15783286
416,417,0.15734212
417,418,0.15718277
418,419,0.15761691
419,420,0.15697992
420,421,0.15702884
421,422,0.15727049
422,423,0.15749568
423,424,0.15742336
424,425,0.15768205
425,426,0.15742959
426,427,0.15674375
427,428,0.15701964
428,429,0.1570899
429,430,0.15689865
430,431,0.15668565
431,432,0.15718593
432,433,0.15661186
433,434,0.15667133
434,435,0.15643847
435,436,0.15557489
436,437,0.15663326
437,438,0.15612951
438,439,0.1570047
439,440,0.15720604
440,441,0.15626058
441,442,0.15603991
442,443,0.15645562
443,444,0.15593545
444,445,0.15638636
445,446,0.15687887
446,447,0.15542139
447,448,0.15574507
448,449,0.15553324
449,450,0.15594415
450,451,0.15570621
451,452,0.15587464
452,453,0.15547237
453,454,0.15410028
454,455,0.15581052
455,456,0.15435599
456,457,0.15468076
457,458,0.154831
458,459,0.15484552
459,460,0.15426646
460,461,0.15410274
461,462,0.15462963
462,463,0.15448307
463,464,0.15483032
464,465,0.15459833
465,466,0.15467204
466,467,0.15365723
467,468,0.15365991
468,469,0.15356372
469,470,0.15342031
470,471,0.15318842
471,472,0.1537652
472,473,0.15304688
473,474,0.1530844
474,475,0.15252687
475,476,0.15284915
476,477,0.15215877
477,478,0.15238109
478,479,0.15249647
479,480,0.15222462
480,481,0.15203193
481,482,0.1520375
482,483,0.15183774
483,484,0.15147525
484,485,0.15130496
485,486,0.15129068
486,487,0.15148474
487,488,0.15054767
488,489,0.15031765
489,490,0.15012531
490,491,0.15084015
491,492,0.14965203
492,493,0.14999707
493,494,0.15018524
494,495,0.14975762
495,496,0.14908056
496,497,0.14921471
497,498,0.14863159
498,499,0.14903657
499,500,0.14870006
500,501,0.1481734
501,502,0.14884152
502,503,0.14800338
503,504,0.14769824
504,505,0.14741848
505,506,0.1470769
506,507,0.1471498
507,508,0.14752792
508,509,0.14730588
509,510,0.1467671
510,511,0.1465007
511,512,0.14594215
512,513,0.1463328
513,514,0.146124
514,515,0.14656796
515,516,0.14621964
516,517,0.14593008
517,518,0.14615385
518,519,0.14526616
519,520,0.14583203
520,521,0.1449949
521,522,0.14492126
522,523,0.14526275
523,524,0.14572115
524,525,0.14489275
525,526,0.14499632
526,527,0.1447177
527,528,0.1456589
528,529,0.14517055
529,530,0.14438437
530,531,0.14453806
531,532,0.14429373
532,533,0.14498974
533,534,0.14422496
534,535,0.14448586
535,536,0.14410242
536,537,0.14433278
537,538,0.14409418
538,539,0.1442595
539,540,0.14431359
540,541,0.1441158
541,542,0.14378601
542,543,0.14345084
543,544,0.14362565
544,545,0.14358227
545,546,0.14385559
546,547,0.14319989
547,548,0.1439353
548,549,0.14194365
549,550,0.14268446
550,551,0.14241025
551,552,0.14302044
552,553,0.14312707
553,554,0.14309184
554,555,0.14254166
555,556,0.14333005
556,557,0.14279406
557,558,0.14313188
558,559,0.14323093
559,560,0.14334008
560,561,0.1420379
561,562,0.14247425
562,563,0.14198099
563,564,0.14230826
564,565,0.14225183
565,566,0.14224948
566,567,0.14243327
567,568,0.14243002
568,569,0.14155222
569,570,0.1421073
570,571,0.14216526
571,572,0.14176866
572,573,0.14144027
573,574,0.1417849
574,575,0.14157696
575,576,0.14187936
576,577,0.14136297
577,578,0.14123388
578,579,0.14061132
579,580,0.14210068
580,581,0.14153293
581,582,0.14027432
582,583,0.1411471
583,584,0.1401804
584,585,0.14052941
585,586,0.14019981
586,587,0.14076596
587,588,0.14128564
588,589,0.14039151
589,590,0.14030652
590,591,0.14026633
591,592,0.14124808
592,593,0.14044608
593,594,0.14038491
594,595,0.14027515
595,596,0.14014298
596,597,0.1406976
597,598,0.14010702
598,599,0.14010124
599,600,0.13945258
600,601,0.14027847
601,602,0.1398505
602,603,0.14006954
603,604,0.13927732
604,605,0.13961232
605,606,0.13914885
606,607,0.13979277
607,608,0.13926132
608,609,0.13895069
609,610,0.13888556
610,611,0.139296
611,612,0.139439
612,613,0.13973978
613,614,0.139431
614,615,0.13862441
615,616,0.13969459
616,617,0.13879193
617,618,0.1386057
618,619,0.13874418
619,620,0.13829097
620,621,0.13850822
621,622,0.1385535
622,623,0.13831688
623,624,0.13896611
624,625,0.13891652
625,626,0.13769153
626,627,0.13853799
627,628,0.13866638
628,629,0.13755645
629,630,0.13822025
630,631,0.13829185
631,632,0.13785882
632,633,0.1381944
633,634,0.13789485
634,635,0.13746558
635,636,0.13741641
636,637,0.13761392
637,638,0.13685068
638,639,0.13770618
639,640,0.13810994
640,641,0.13776726
641,642,0.13705264
642,643,0.1369743
643,644,0.13731286
644,645,0.13698782
645,646,0.13743265
646,647,0.13794799
647,648,0.1372457
648,649,0.1373188
649,650,0.1369901
650,651,0.13714217
651,652,0.13718328
652,653,0.13671324
653,654,0.13670032
654,655,0.13663602
655,656,0.13618802
656,657,0.13663761
657,658,0.1366234
658,659,0.13561554
659,660,0.13674481
660,661,0.13571386
661,662,0.13595727
662,663,0.13607126
663,664,0.13596238
664,665,0.13650177
665,666,0.13637707
666,667,0.13628623
667,668,0.13596243
668,669,0.13625313
669,670,0.13612862
670,671,0.13546565
671,672,0.13571845
672,673,0.13614823
673,674,0.13593522
674,675,0.13564609
675,676,0.13540842
676,677,0.13473581
677,678,0.13509908
678,679,0.13486929
679,680,0.13462044
680,681,0.13506183
681,682,0.13516778
682,683,0.13503823
683,684,0.13442647
684,685,0.13490736
685,686,0.13460115
686,687,0.13420892
687,688,0.13443844
688,689,0.13469088
689,690,0.13440242
690,691,0.13385007
691,692,0.13413022
692,693,0.13450073
693,694,0.13407482
694,695,0.13408904
695,696,0.13443741
696,697,0.13390616
697,698,0.13339323
698,699,0.13301176
699,700,0.13383509
700,701,0.13382858
701,702,0.13365659
702,703,0.13335419
703,704,0.13416646
704,705,0.13412432
705,706,0.13284115
706,707,0.13353798
707,708,0.13337022
708,709,0.13297594
709,710,0.13267347
710,711,0.13277744
711,712,0.13307124
712,713,0.13188612
713,714,0.13368082
714,715,0.13264073
715,716,0.13227163
716,717,0.13267003
717,718,0.13207349
718,719,0.13254856
719,720,0.13200544
720,721,0.13203023
721,722,0.1322788
722,723,0.13202529
723,724,0.13186133
724,725,0.13225369
725,726,0.13152768
726,727,0.13110864
727,728,0.13158347
728,729,0.13118531
729,730,0.1312347
730,731,0.13138105
731,732,0.13122629
732,733,0.13033605
733,734,0.13062854
734,735,0.1306745
735,736,0.13084275
736,737,0.13104947
737,738,0.13011111
738,739,0.12985641
739,740,0.13033938
740,741,0.12991855
741,742,0.13089506
742,743,0.12983303
743,744,0.12944275
744,745,0.12944189
745,746,0.12951666
746,747,0.12920734
747,748,0.12935783
748,749,0.1293148
749,750,0.12827154
750,751,0.1293876
751,752,0.12917398
752,753,0.12850845
753,754,0.12770674
754,755,0.1282938
755,756,0.12771817
756,757,0.12893972
757,758,0.12815945
758,759,0.12689611
759,760,0.12748164
760,761,0.1271448
761,762,0.12820277
762,763,0.12676978
763,764,0.12670541
764,765,0.12654778
765,766,0.12627158
766,767,0.12635446
767,768,0.12629475
768,769,0.1257737
769,770,0.12579134
770,771,0.12601967
771,772,0.12552038
772,773,0.124427445
773,774,0.12530869
774,775,0.12437911
775,776,0.123818256
776,777,0.12450664
777,778,0.12395888
778,779,0.12398389
779,780,0.12401979
780,781,0.122832246
781,782,0.12345545
782,783,0.12331532
783,784,0.12207957
784,785,0.12205169
785,786,0.122129686
786,787,0.1216894
787,788,0.12174408
788,789,0.12139211
789,790,0.121463865
790,791,0.12056157
791,792,0.12003363
792,793,0.11999641
793,794,0.119646214
794,795,0.11945758
795,796,0.11939889
796,797,0.11847101
797,798,0.11826182
798,799,0.1178427
799,800,0.11773291
800,801,0.11748193
801,802,0.116444595
802,803,0.11627543
803,804,0.11605187
804,805,0.115837276
805,806,0.115214705
806,807,0.11459862
807,808,0.1149784
808,809,0.11440648
809,810,0.11336514
810,811,0.11311135
811,812,0.11302626
812,813,0.11214746
813,814,0.11191403
814,815,0.11161728
815,816,0.11114757
816,817,0.110448256
817,818,0.10997764
818,819,0.10961074
819,820,0.10953922
820,821,0.108120486
821,822,0.1079028
822,823,0.10766338
823,824,0.10675801
824,825,0.10687795
825,826,0.10631394
826,827,0.10614259
827,828,0.105016574
828,829,0.10505825
829,830,0.10439064
830,831,0.10388405
831,832,0.10349649
832,833,0.1034805
833,834,0.10235631
834,835,0.102301314
835,836,0.10072145
836,837,0.100751884
837,838,0.100676894
838,839,0.10069249
839,840,0.09995539
840,841,0.099361695
841,842,0.09903583
842,843,0.09873745
843,844,0.097945005
844,845,0.09746924
845,846,0.09737663
846,847,0.09686491
847,848,0.09602709
848,849,0.09581442
849,850,0.09473141
850,851,0.09540686
851,852,0.09434656
852,853,0.093797445
853,854,0.09298575
854,855,0.092877336
855,856,0.092272125
856,857,0.09183118
857,858,0.090941794
858,859,0.09068892
859,860,0.090177536
860,861,0.08929796
861,862,0.089101896
862,863,0.0883852
863,864,0.08831292
864,865,0.08771375
865,866,0.086933
866,867,0.08603374
867,868,0.085874856
868,869,0.085259855
869,870,0.08405977
870,871,0.08386087
871,872,0.08286498
872,873,0.08242691
873,874,0.081914365
874,875,0.081547774
875,876,0.08084737
876,877,0.07970798
877,878,0.07931705
878,879,0.079233155
879,880,0.07821756
880,881,0.077614486
881,882,0.07685521
882,883,0.074774705
883,884,0.07287567
884,885,0.071430296
885,886,0.06961324
886,887,0.06808353
887,888,0.06675765
888,889,0.065120935
889,890,0.06326629
890,891,0.06179155
891,892,0.060048338
892,893,0.058296364
893,894,0.056377403
894,895,0.05472758
895,896,0.053010985
896,897,0.05084503
897,898,0.049300157
898,899,0.047341485
899,900,0.046006296
900,901,0.04378416
901,902,0.042326786
902,903,0.04069621
903,904,0.039122604
904,905,0.03759473
905,906,0.0359784
906,907,0.03464299
907,908,0.033290237
908,909,0.031890903
909,910,0.030597312
910,911,0.029450461
911,912,0.02817082
912,913,0.026994249
913,914,0.025832513
914,915,0.024687525
915,916,0.023627456
916,917,0.02271398
917,918,0.02170185
918,919,0.020755822
919,920,0.019889973
920,921,0.019082611
921,922,0.01824128
922,923,0.017491154
923,924,0.016790923
924,925,0.016081475
925,926,0.0153886415
926,927,0.014747272
927,928,0.014099951
928,929,0.013547159
929,930,0.012969389
930,931,0.012434206
931,932,0.011993836
932,933,0.0114392415
933,934,0.011021466
934,935,0.010585485
935,936,0.010176558
936,937,0.009752887
937,938,0.009413246
938,939,0.009114202
939,940,0.008719295
940,941,0.008413302
941,942,0.008093408
942,943,0.007744474
943,944,0.0074762134
944,945,0.007225525
945,946,0.0070069944
946,947,0.006748911
947,948,0.0064982525
948,949,0.0062864223
949,950,0.006044569
950,951,0.005926343
951,952,0.0057090083
952,953,0.0055098888
953,954,0.0053224307
954,955,0.005165242
955,956,0.0050002234
956,957,0.004838391
957,958,0.004738964
958,959,0.0045920075
959,960,0.0044663036
960,961,0.004321609
961,962,0.0041787517
962,963,0.0040832353
963,964,0.003950883
964,965,0.003851612
965,966,0.0037485375
966,967,0.0036521724
967,968,0.0035369243
968,969,0.0034782994
969,970,0.0033863173
970,971,0.0032875992
971,972,0.0032164974
972,973,0.0031385715
973,974,0.0030532929
974,975,0.0029822257
975,976,0.0029048221
976,977,0.002852149
977,978,0.0027770412
978,979,0.0027204838
979,980,0.0026679214
980,981,0.0026005292
981,982,0.0025269827
982,983,0.0024821588
983,984,0.0024267358
984,985,0.002365373
985,986,0.0023349982
986,987,0.0022815552
987,988,0.0022340787
988,989,0.002184776
989,990,0.0021394156
990,991,0.002108479
